type,element_id,text,metadata,filename,page_number,text_as_html,language,filetype,partition_type
PageNumber,"{'type': 'PageNumber', 'element_id': 'bba9a256244f6d3f58fa7f6070d43902', 'text': '1', 'metadata': {'category_depth': 1, 'page_number': 1, 'parent_id': 'e6fed2d31abe44a4b9b606506dc6d99a', 'text_as_html': '<span class=""PageNumber"" id=""1904dd1fae9748e3a525c4222bb2c00f"">1</span>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",1,"{'category_depth': 1, 'page_number': 1, 'parent_id': 'e6fed2d31abe44a4b9b606506dc6d99a', 'text_as_html': '<span class=""PageNumber"" id=""1904dd1fae9748e3a525c4222bb2c00f"">1</span>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,1.0,"<span class=""PageNumber"" id=""1904dd1fae9748e3a525c4222bb2c00f"">1</span>",,application/pdf,
UncategorizedText,"{'type': 'UncategorizedText', 'element_id': '1c20fd40b567c8d6934c3023f857f967', 'text': '', 'metadata': {'category_depth': 0, 'page_number': 2, 'text_as_html': '<div class=""Page"" data-page-number=""2"" id=""e2be14182cc94e5abb7297b15130253f"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",,"{'category_depth': 0, 'page_number': 2, 'text_as_html': '<div class=""Page"" data-page-number=""2"" id=""e2be14182cc94e5abb7297b15130253f"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<div class=""Page"" data-page-number=""2"" id=""e2be14182cc94e5abb7297b15130253f"" />",,application/pdf,
Title,"{'type': 'Title', 'element_id': '072610bdf18611c5a05de7f157ef3ea9', 'text': 'Stealing Part of a Production Language Model', 'metadata': {'category_depth': 1, 'page_number': 2, 'parent_id': 'e2be14182cc94e5abb7297b15130253f', 'text_as_html': '<h1 class=""Title"" id=""889bc988ba87435fb872a65cdfcc9055"">Stealing Part of a Production Language Model</h1>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",Stealing Part of a Production Language Model,"{'category_depth': 1, 'page_number': 2, 'parent_id': 'e2be14182cc94e5abb7297b15130253f', 'text_as_html': '<h1 class=""Title"" id=""889bc988ba87435fb872a65cdfcc9055"">Stealing Part of a Production Language Model</h1>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<h1 class=""Title"" id=""889bc988ba87435fb872a65cdfcc9055"">Stealing Part of a Production Language Model</h1>",,application/pdf,
UncategorizedText,"{'type': 'UncategorizedText', 'element_id': 'f9c791c819978aa0723147252c46140c', 'text': '', 'metadata': {'category_depth': 1, 'page_number': 2, 'parent_id': 'e2be14182cc94e5abb7297b15130253f', 'text_as_html': '<section class=""Section"" id=""faf16cdf8ceb4037b1c1f5f08de9232d"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",,"{'category_depth': 1, 'page_number': 2, 'parent_id': 'e2be14182cc94e5abb7297b15130253f', 'text_as_html': '<section class=""Section"" id=""faf16cdf8ceb4037b1c1f5f08de9232d"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<section class=""Section"" id=""faf16cdf8ceb4037b1c1f5f08de9232d"" />",,application/pdf,
Title,"{'type': 'Title', 'element_id': 'c839413040e9c9bb82b843cecb70ea88', 'text': 'Responsible disclosure.', 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'faf16cdf8ceb4037b1c1f5f08de9232d', 'text_as_html': '<h2 class=""Heading"" id=""1cb73463484c4d509d2d9335f167e894"">Responsible disclosure.</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",Responsible disclosure.,"{'category_depth': 2, 'page_number': 2, 'parent_id': 'faf16cdf8ceb4037b1c1f5f08de9232d', 'text_as_html': '<h2 class=""Heading"" id=""1cb73463484c4d509d2d9335f167e894"">Responsible disclosure.</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<h2 class=""Heading"" id=""1cb73463484c4d509d2d9335f167e894"">Responsible disclosure.</h2>",,application/pdf,
NarrativeText,"{'type': 'NarrativeText', 'element_id': '40129cf1fb2895b943e752f9123403c8', 'text': ""We shared our attack with all services we are aware of that are vulnerable to this attack. We also shared our attack with several other popular services, even if they were not vulnerable to our specific attack, because variants of our attack may be possible in other settings. We received approval from OpenAI prior to extracting the parameters of the last layers of their models, worked with OpenAI to confirm our approach's efficacy, and then deleted all data associated with the attack. In response to our attack, OpenAI and Google have both modified their APIs to introduce mitigations and defenses (like those that we suggest in Section 8) to make it more difficult for adversaries to perform this attack."", 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'faf16cdf8ceb4037b1c1f5f08de9232d', 'text_as_html': '<p class=""NarrativeText"" id=""c2e874a4579f45c194d14579c75da4be"">We shared our attack with all services we are aware of that are vulnerable to this attack. We also shared our attack with several other popular services, even if they were not vulnerable to our specific attack, because variants of our attack may be possible in other settings. We received approval from OpenAI prior to extracting the parameters of the last layers of their models, worked with OpenAI to confirm our approach\'s efficacy, and then deleted all data associated with the attack. In response to our attack, OpenAI and Google have both modified their APIs to introduce mitigations and defenses (like those that we suggest in Section 8) to make it more difficult for adversaries to perform this attack.</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}","We shared our attack with all services we are aware of that are vulnerable to this attack. We also shared our attack with several other popular services, even if they were not vulnerable to our specific attack, because variants of our attack may be possible in other settings. We received approval from OpenAI prior to extracting the parameters of the last layers of their models, worked with OpenAI to confirm our approach's efficacy, and then deleted all data associated with the attack. In response to our attack, OpenAI and Google have both modified their APIs to introduce mitigations and defenses (like those that we suggest in Section 8) to make it more difficult for adversaries to perform this attack.","{'category_depth': 2, 'page_number': 2, 'parent_id': 'faf16cdf8ceb4037b1c1f5f08de9232d', 'text_as_html': '<p class=""NarrativeText"" id=""c2e874a4579f45c194d14579c75da4be"">We shared our attack with all services we are aware of that are vulnerable to this attack. We also shared our attack with several other popular services, even if they were not vulnerable to our specific attack, because variants of our attack may be possible in other settings. We received approval from OpenAI prior to extracting the parameters of the last layers of their models, worked with OpenAI to confirm our approach\'s efficacy, and then deleted all data associated with the attack. In response to our attack, OpenAI and Google have both modified their APIs to introduce mitigations and defenses (like those that we suggest in Section 8) to make it more difficult for adversaries to perform this attack.</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<p class=""NarrativeText"" id=""c2e874a4579f45c194d14579c75da4be"">We shared our attack with all services we are aware of that are vulnerable to this attack. We also shared our attack with several other popular services, even if they were not vulnerable to our specific attack, because variants of our attack may be possible in other settings. We received approval from OpenAI prior to extracting the parameters of the last layers of their models, worked with OpenAI to confirm our approach's efficacy, and then deleted all data associated with the attack. In response to our attack, OpenAI and Google have both modified their APIs to introduce mitigations and defenses (like those that we suggest in Section 8) to make it more difficult for adversaries to perform this attack.</p>",,application/pdf,
UncategorizedText,"{'type': 'UncategorizedText', 'element_id': 'a6a0813046cae4ff77968827698013f1', 'text': '', 'metadata': {'category_depth': 1, 'page_number': 2, 'parent_id': 'e2be14182cc94e5abb7297b15130253f', 'text_as_html': '<section class=""Section"" id=""df903a0b8fbb423790d92141742c1ba2"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",,"{'category_depth': 1, 'page_number': 2, 'parent_id': 'e2be14182cc94e5abb7297b15130253f', 'text_as_html': '<section class=""Section"" id=""df903a0b8fbb423790d92141742c1ba2"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<section class=""Section"" id=""df903a0b8fbb423790d92141742c1ba2"" />",,application/pdf,
Title,"{'type': 'Title', 'element_id': 'cdc92f2b27099287904ebbbe7965f092', 'text': '2. Related Work', 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'df903a0b8fbb423790d92141742c1ba2', 'text_as_html': '<h2 class=""Heading"" id=""f7d6c72c5f7e4c7bab2977a6dade6ad5"">2. Related Work</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",2. Related Work,"{'category_depth': 2, 'page_number': 2, 'parent_id': 'df903a0b8fbb423790d92141742c1ba2', 'text_as_html': '<h2 class=""Heading"" id=""f7d6c72c5f7e4c7bab2977a6dade6ad5"">2. Related Work</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<h2 class=""Heading"" id=""f7d6c72c5f7e4c7bab2977a6dade6ad5"">2. Related Work</h2>",,application/pdf,
NarrativeText,"{'type': 'NarrativeText', 'element_id': 'c6458485414b7db16407b0f1e852b5f7', 'text': 'Model stealing attacks (Tramèr et al., 2016) aim to recover the functionality of a black-box model, and optimize for one of two objectives (Jagielski et al., 2020):', 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'df903a0b8fbb423790d92141742c1ba2', 'text_as_html': '<p class=""NarrativeText"" id=""c8214562fb6f4d908c8e327e12908c61"">Model stealing attacks (Tramèr et al., 2016) aim to recover the functionality of a black-box model, and optimize for one of two objectives (Jagielski et al., 2020):</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}","Model stealing attacks (Tramèr et al., 2016) aim to recover the functionality of a black-box model, and optimize for one of two objectives (Jagielski et al., 2020):","{'category_depth': 2, 'page_number': 2, 'parent_id': 'df903a0b8fbb423790d92141742c1ba2', 'text_as_html': '<p class=""NarrativeText"" id=""c8214562fb6f4d908c8e327e12908c61"">Model stealing attacks (Tramèr et al., 2016) aim to recover the functionality of a black-box model, and optimize for one of two objectives (Jagielski et al., 2020):</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<p class=""NarrativeText"" id=""c8214562fb6f4d908c8e327e12908c61"">Model stealing attacks (Tramèr et al., 2016) aim to recover the functionality of a black-box model, and optimize for one of two objectives (Jagielski et al., 2020):</p>",,application/pdf,
UncategorizedText,"{'type': 'UncategorizedText', 'element_id': 'c91e171f0f37bb3bdae4febaef59cf83', 'text': ""Accuracy: the stolen model f̂ should match the performance of the target model f on some particular data domain. For example, if the target is an image classifier, we might want the stolen model to match the target's overall accuracy on ImageNet. Fidelity: the stolen model f̂ should be functionally equivalent to the target model f on all inputs. That is, for any valid input p, we want f̂(p) ≈ f(p)."", 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'df903a0b8fbb423790d92141742c1ba2', 'text_as_html': '<ol class=""OrderedList"" id=""de6aa4b774e94a8eb793e19b01a44b89""><li class=""ListItem"" id=""bce49cf400e441ffa2d9147b4bb325c6"">Accuracy: the stolen model f̂ should match the performance of the target model f on some particular data domain. For example, if the target is an image classifier, we might want the stolen model to match the target\'s overall accuracy on ImageNet.</li><li class=""ListItem"" id=""827cc6e6aa8d420683fcd4ceb53189d3"">Fidelity: the stolen model f̂ should be functionally equivalent to the target model f on all inputs. That is, for any valid input p, we want f̂(p) ≈ f(p).</li></ol>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}","Accuracy: the stolen model f̂ should match the performance of the target model f on some particular data domain. For example, if the target is an image classifier, we might want the stolen model to match the target's overall accuracy on ImageNet. Fidelity: the stolen model f̂ should be functionally equivalent to the target model f on all inputs. That is, for any valid input p, we want f̂(p) ≈ f(p).","{'category_depth': 2, 'page_number': 2, 'parent_id': 'df903a0b8fbb423790d92141742c1ba2', 'text_as_html': '<ol class=""OrderedList"" id=""de6aa4b774e94a8eb793e19b01a44b89""><li class=""ListItem"" id=""bce49cf400e441ffa2d9147b4bb325c6"">Accuracy: the stolen model f̂ should match the performance of the target model f on some particular data domain. For example, if the target is an image classifier, we might want the stolen model to match the target\'s overall accuracy on ImageNet.</li><li class=""ListItem"" id=""827cc6e6aa8d420683fcd4ceb53189d3"">Fidelity: the stolen model f̂ should be functionally equivalent to the target model f on all inputs. That is, for any valid input p, we want f̂(p) ≈ f(p).</li></ol>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<ol class=""OrderedList"" id=""de6aa4b774e94a8eb793e19b01a44b89""><li class=""ListItem"" id=""bce49cf400e441ffa2d9147b4bb325c6"">Accuracy: the stolen model f̂ should match the performance of the target model f on some particular data domain. For example, if the target is an image classifier, we might want the stolen model to match the target's overall accuracy on ImageNet.</li><li class=""ListItem"" id=""827cc6e6aa8d420683fcd4ceb53189d3"">Fidelity: the stolen model f̂ should be functionally equivalent to the target model f on all inputs. That is, for any valid input p, we want f̂(p) ≈ f(p).</li></ol>",,application/pdf,
NarrativeText,"{'type': 'NarrativeText', 'element_id': 'cfc0de4682166c1527d19b8c87c011ed', 'text': 'In this paper, we focus on high-fidelity attacks. Most prior high-fidelity attacks exploit specific properties of deep neural networks with ReLU activations. Milli et al. (2019) first showed that if an attacker can compute gradients of a target two-layer ReLU model, then they can steal a nearly bit-for-bit equivalent model. Jagielski et al. (2020) observed that if the attacker only has query access to model outputs, they can approximate gradients with finite differences. Subsequent work extended these attacks to efficiently extract deeper ReLU models (Carlini et al., 2020; Rolnick & Kording, 2020; Shamir et al., 2023). Unfortunately, none of these approaches scale to production language models, because they (1) accept tokens as inputs (and so performing finite differences is intractable); (2) use activations other than ReLUs; (3) contain architectural components such as attention, layer normalization, residual connections, etc. that current attacks cannot handle; (4) are orders-of-magnitude larger than prior extracted models; and (5) expose only limited-precision outputs. Other attacks aim to recover more limited information. Wei et al. (2020) show that an adversary co-located on the same server as the LLM can recover the sizes of all hidden layers. Others have attempted to recover model sizes by correlating performance on published benchmarks with model sizes in academic papers (Gao, 2021).', 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'df903a0b8fbb423790d92141742c1ba2', 'text_as_html': '<p class=""NarrativeText"" id=""bded60a403f7436285b021f558748793"">In this paper, we focus on high-fidelity attacks. Most prior high-fidelity attacks exploit specific properties of deep neural networks with ReLU activations. Milli et al. (2019) first showed that if an attacker can compute gradients of a target two-layer ReLU model, then they can steal a nearly bit-for-bit equivalent model. Jagielski et al. (2020) observed that if the attacker only has query access to model outputs, they can approximate gradients with finite differences. Subsequent work extended these attacks to efficiently extract deeper ReLU models (Carlini et al., 2020; Rolnick & Kording, 2020; Shamir et al., 2023). Unfortunately, none of these approaches scale to production language models, because they (1) accept tokens as inputs (and so performing finite differences is intractable); (2) use activations other than ReLUs; (3) contain architectural components such as attention, layer normalization, residual connections, etc. that current attacks cannot handle; (4) are orders-of-magnitude larger than prior extracted models; and (5) expose only limited-precision outputs.</p><p class=""NarrativeText"" id=""0f262c5853f94b47a1341c7c3fb65caf"">Other attacks aim to recover more limited information. Wei et al. (2020) show that an adversary co-located on the same server as the LLM can recover the sizes of all hidden layers. Others have attempted to recover model sizes by correlating performance on published benchmarks with model sizes in academic papers (Gao, 2021).</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}","In this paper, we focus on high-fidelity attacks. Most prior high-fidelity attacks exploit specific properties of deep neural networks with ReLU activations. Milli et al. (2019) first showed that if an attacker can compute gradients of a target two-layer ReLU model, then they can steal a nearly bit-for-bit equivalent model. Jagielski et al. (2020) observed that if the attacker only has query access to model outputs, they can approximate gradients with finite differences. Subsequent work extended these attacks to efficiently extract deeper ReLU models (Carlini et al., 2020; Rolnick & Kording, 2020; Shamir et al., 2023). Unfortunately, none of these approaches scale to production language models, because they (1) accept tokens as inputs (and so performing finite differences is intractable); (2) use activations other than ReLUs; (3) contain architectural components such as attention, layer normalization, residual connections, etc. that current attacks cannot handle; (4) are orders-of-magnitude larger than prior extracted models; and (5) expose only limited-precision outputs. Other attacks aim to recover more limited information. Wei et al. (2020) show that an adversary co-located on the same server as the LLM can recover the sizes of all hidden layers. Others have attempted to recover model sizes by correlating performance on published benchmarks with model sizes in academic papers (Gao, 2021).","{'category_depth': 2, 'page_number': 2, 'parent_id': 'df903a0b8fbb423790d92141742c1ba2', 'text_as_html': '<p class=""NarrativeText"" id=""bded60a403f7436285b021f558748793"">In this paper, we focus on high-fidelity attacks. Most prior high-fidelity attacks exploit specific properties of deep neural networks with ReLU activations. Milli et al. (2019) first showed that if an attacker can compute gradients of a target two-layer ReLU model, then they can steal a nearly bit-for-bit equivalent model. Jagielski et al. (2020) observed that if the attacker only has query access to model outputs, they can approximate gradients with finite differences. Subsequent work extended these attacks to efficiently extract deeper ReLU models (Carlini et al., 2020; Rolnick & Kording, 2020; Shamir et al., 2023). Unfortunately, none of these approaches scale to production language models, because they (1) accept tokens as inputs (and so performing finite differences is intractable); (2) use activations other than ReLUs; (3) contain architectural components such as attention, layer normalization, residual connections, etc. that current attacks cannot handle; (4) are orders-of-magnitude larger than prior extracted models; and (5) expose only limited-precision outputs.</p><p class=""NarrativeText"" id=""0f262c5853f94b47a1341c7c3fb65caf"">Other attacks aim to recover more limited information. Wei et al. (2020) show that an adversary co-located on the same server as the LLM can recover the sizes of all hidden layers. Others have attempted to recover model sizes by correlating performance on published benchmarks with model sizes in academic papers (Gao, 2021).</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<p class=""NarrativeText"" id=""bded60a403f7436285b021f558748793"">In this paper, we focus on high-fidelity attacks. Most prior high-fidelity attacks exploit specific properties of deep neural networks with ReLU activations. Milli et al. (2019) first showed that if an attacker can compute gradients of a target two-layer ReLU model, then they can steal a nearly bit-for-bit equivalent model. Jagielski et al. (2020) observed that if the attacker only has query access to model outputs, they can approximate gradients with finite differences. Subsequent work extended these attacks to efficiently extract deeper ReLU models (Carlini et al., 2020; Rolnick & Kording, 2020; Shamir et al., 2023). Unfortunately, none of these approaches scale to production language models, because they (1) accept tokens as inputs (and so performing finite differences is intractable); (2) use activations other than ReLUs; (3) contain architectural components such as attention, layer normalization, residual connections, etc. that current attacks cannot handle; (4) are orders-of-magnitude larger than prior extracted models; and (5) expose only limited-precision outputs.</p><p class=""NarrativeText"" id=""0f262c5853f94b47a1341c7c3fb65caf"">Other attacks aim to recover more limited information. Wei et al. (2020) show that an adversary co-located on the same server as the LLM can recover the sizes of all hidden layers. Others have attempted to recover model sizes by correlating performance on published benchmarks with model sizes in academic papers (Gao, 2021).</p>",,application/pdf,
UncategorizedText,"{'type': 'UncategorizedText', 'element_id': 'ab5140fdccd4569fe66067dce4dad417', 'text': '', 'metadata': {'category_depth': 1, 'page_number': 2, 'parent_id': 'e2be14182cc94e5abb7297b15130253f', 'text_as_html': '<section class=""Section"" id=""dcbd9040e2f04ab18ac16273c30b6aa1"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",,"{'category_depth': 1, 'page_number': 2, 'parent_id': 'e2be14182cc94e5abb7297b15130253f', 'text_as_html': '<section class=""Section"" id=""dcbd9040e2f04ab18ac16273c30b6aa1"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<section class=""Section"" id=""dcbd9040e2f04ab18ac16273c30b6aa1"" />",,application/pdf,
Title,"{'type': 'Title', 'element_id': 'a4d4cbcf8888b1e0b4c31c19cda65dce', 'text': '3. Problem Formulation', 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'dcbd9040e2f04ab18ac16273c30b6aa1', 'text_as_html': '<h2 class=""Heading"" id=""22ee7fe1ceb7435faff1b8e5963cce29"">3. Problem Formulation</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}",3. Problem Formulation,"{'category_depth': 2, 'page_number': 2, 'parent_id': 'dcbd9040e2f04ab18ac16273c30b6aa1', 'text_as_html': '<h2 class=""Heading"" id=""22ee7fe1ceb7435faff1b8e5963cce29"">3. Problem Formulation</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<h2 class=""Heading"" id=""22ee7fe1ceb7435faff1b8e5963cce29"">3. Problem Formulation</h2>",,application/pdf,
NarrativeText,"{'type': 'NarrativeText', 'element_id': 'ddebea3af7f3b61819ded9d2ca0e2ade', 'text': 'We study models that take a sequence of tokens drawn from a vocabulary X as input. Let P(X) denote the space of probability distributions over X. We study parameterized models fθ : X N → P(X) that produce a probability distribution over the next output token, given an input sequence of N tokens. The model has the following structure:', 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'dcbd9040e2f04ab18ac16273c30b6aa1', 'text_as_html': '<p class=""NarrativeText"" id=""8da83560424745a28709adf2478d5602""><p class=""Paragraph"" id=""d8b210dd1ce247d09a3dcc9867bcefd5"">We study models that take a sequence of tokens drawn from a vocabulary X as input. Let P(X) denote the space of probability distributions over X. We study parameterized models fθ : X</p><span class=""UncategorizedText"" id=""329beb36df484c9c8fe26b8d5b769570"">N</span><p class=""Paragraph"" id=""34fcdb4c13f74d0e832ffd3b1e138626"">→ P(X) that produce a probability distribution over the next output token, given an input sequence of N tokens. The model has the following structure:</p></p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}","We study models that take a sequence of tokens drawn from a vocabulary X as input. Let P(X) denote the space of probability distributions over X. We study parameterized models fθ : X N → P(X) that produce a probability distribution over the next output token, given an input sequence of N tokens. The model has the following structure:","{'category_depth': 2, 'page_number': 2, 'parent_id': 'dcbd9040e2f04ab18ac16273c30b6aa1', 'text_as_html': '<p class=""NarrativeText"" id=""8da83560424745a28709adf2478d5602""><p class=""Paragraph"" id=""d8b210dd1ce247d09a3dcc9867bcefd5"">We study models that take a sequence of tokens drawn from a vocabulary X as input. Let P(X) denote the space of probability distributions over X. We study parameterized models fθ : X</p><span class=""UncategorizedText"" id=""329beb36df484c9c8fe26b8d5b769570"">N</span><p class=""Paragraph"" id=""34fcdb4c13f74d0e832ffd3b1e138626"">→ P(X) that produce a probability distribution over the next output token, given an input sequence of N tokens. The model has the following structure:</p></p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<p class=""NarrativeText"" id=""8da83560424745a28709adf2478d5602""><p class=""Paragraph"" id=""d8b210dd1ce247d09a3dcc9867bcefd5"">We study models that take a sequence of tokens drawn from a vocabulary X as input. Let P(X) denote the space of probability distributions over X. We study parameterized models fθ : X</p><span class=""UncategorizedText"" id=""329beb36df484c9c8fe26b8d5b769570"">N</span><p class=""Paragraph"" id=""34fcdb4c13f74d0e832ffd3b1e138626"">→ P(X) that produce a probability distribution over the next output token, given an input sequence of N tokens. The model has the following structure:</p></p>",,application/pdf,
Formula,"{'type': 'Formula', 'element_id': '0108c0a85118efb4e62cbbc77ff17560', 'text': 'fθ(p) = softmax(W · gθ(p)),                    (1)', 'metadata': {'category_depth': 2, 'page_number': 2, 'parent_id': 'dcbd9040e2f04ab18ac16273c30b6aa1', 'text_as_html': '<math class=""Formula"" id=""798342bd2ed04a11a57d54e12ecd87f6"">fθ(p) = softmax(W · gθ(p)),                    (1)</math>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}}","fθ(p) = softmax(W · gθ(p)),                    (1)","{'category_depth': 2, 'page_number': 2, 'parent_id': 'dcbd9040e2f04ab18ac16273c30b6aa1', 'text_as_html': '<math class=""Formula"" id=""798342bd2ed04a11a57d54e12ecd87f6"">fθ(p) = softmax(W · gθ(p)),                    (1)</math>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': '2403.06634.pdf'}",2403.06634.pdf,2.0,"<math class=""Formula"" id=""798342bd2ed04a11a57d54e12ecd87f6"">fθ(p) = softmax(W · gθ(p)),                    (1)</math>",,application/pdf,
